Scenario,City,Overall Score (0-1)
1,Prague,1.0
1,Warsaw,0.9074
1,Porto,0.7458
1,Valencia,0.5936
1,Vienna,0.3758
1,Rome,0.2725
1,Tenerife,0.0
2,Prague,0.75
2,Porto,0.7229
2,Valencia,0.6968
2,Warsaw,0.6537
2,Rome,0.4863
2,Tenerife,0.45
2,Vienna,0.4379
3,Valencia,0.7312
3,Porto,0.7153
3,Prague,0.6667
3,Tenerife,0.6
3,Warsaw,0.5691
3,Rome,0.5575
3,Vienna,0.4586
4,Prague,0.95
4,Warsaw,0.7537
4,Vienna,0.6879
4,Porto,0.5729
4,Valencia,0.4468
4,Rome,0.3363
4,Tenerife,0.05
5,Prague,0.8
5,Warsaw,0.6358
5,Vienna,0.6253
5,Porto,0.6153
5,Valencia,0.5645
5,Rome,0.4575
5,Tenerife,0.3333
6,Prague,0.725
6,Porto,0.6364
6,Valencia,0.6234
6,Vienna,0.5939
6,Warsaw,0.5768
6,Rome,0.5181
6,Tenerife,0.475
7,Prague,0.9333
7,Vienna,0.7919
7,Warsaw,0.7025
7,Porto,0.5153
7,Valencia,0.3979
7,Rome,0.3575
7,Tenerife,0.0667
8,Prague,0.825
8,Vienna,0.7189
8,Warsaw,0.6268
8,Porto,0.5614
8,Valencia,0.4984
8,Rome,0.4431
8,Tenerife,0.275
9,Prague,0.76
9,Vienna,0.6752
9,Porto,0.5892
9,Warsaw,0.5815
9,Valencia,0.5587
9,Rome,0.4945
9,Tenerife,0.4
10,Prague,0.925
10,Vienna,0.8439
10,Warsaw,0.6768
10,Porto,0.4864
10,Valencia,0.3734
10,Rome,0.3681
10,Tenerife,0.075
11,Prague,0.84
11,Vienna,0.7752
11,Warsaw,0.6215
11,Porto,0.5292
11,Valencia,0.4587
11,Rome,0.4345
11,Tenerife,0.24
12,Prague,0.7833
12,Vienna,0.7293
12,Warsaw,0.5846
12,Porto,0.5576
12,Valencia,0.5156
12,Rome,0.4788
12,Tenerife,0.35
13,Prague,1.0
13,Warsaw,0.9074
13,Porto,0.7458
13,Valencia,0.5936
13,Vienna,0.3758
13,Rome,0.2725
13,Tenerife,0.0
14,Prague,0.8333
14,Warsaw,0.7383
14,Porto,0.7305
14,Valencia,0.6624
14,Vienna,0.4172
14,Rome,0.415
14,Tenerife,0.3
15,Prague,0.75
15,Porto,0.7229
15,Valencia,0.6968
15,Warsaw,0.6537
15,Rome,0.4863
15,Tenerife,0.45
15,Vienna,0.4379
16,Prague,0.9667
16,Warsaw,0.8049
16,Porto,0.6305
16,Vienna,0.5838
16,Valencia,0.4958
16,Rome,0.315
16,Tenerife,0.0333
17,Prague,0.85
17,Warsaw,0.7037
17,Porto,0.6479
17,Valencia,0.5718
17,Vienna,0.5629
17,Rome,0.4113
17,Tenerife,0.25
18,Prague,0.78
18,Porto,0.6583
18,Warsaw,0.643
18,Valencia,0.6175
18,Vienna,0.5503
18,Rome,0.469
18,Tenerife,0.38
19,Prague,0.95
19,Warsaw,0.7537
19,Vienna,0.6879
19,Porto,0.5729
19,Valencia,0.4468
19,Rome,0.3363
19,Tenerife,0.05
20,Prague,0.86
20,Warsaw,0.683
20,Vienna,0.6503
20,Porto,0.5983
20,Valencia,0.5175
20,Rome,0.409
20,Tenerife,0.22
21,Prague,0.8
21,Warsaw,0.6358
21,Vienna,0.6253
21,Porto,0.6153
21,Valencia,0.5645
21,Rome,0.4575
21,Tenerife,0.3333
22,Prague,0.94
22,Vienna,0.7503
22,Warsaw,0.723
22,Porto,0.5383
22,Valencia,0.4175
22,Rome,0.349
22,Tenerife,0.06
23,Prague,0.8667
23,Vienna,0.7086
23,Warsaw,0.6691
23,Porto,0.5653
23,Valencia,0.4812
23,Rome,0.4075
23,Tenerife,0.2
24,Prague,0.8143
24,Vienna,0.6788
24,Warsaw,0.6307
24,Porto,0.5845
24,Valencia,0.5268
24,Rome,0.4493
24,Tenerife,0.3
25,Prague,1.0
25,Warsaw,0.9074
25,Porto,0.7458
25,Valencia,0.5936
25,Vienna,0.3758
25,Rome,0.2725
25,Tenerife,0.0
26,Prague,0.875
26,Warsaw,0.7805
26,Porto,0.7343
26,Valencia,0.6452
26,Vienna,0.4068
26,Rome,0.3794
26,Tenerife,0.225
27,Prague,0.8
27,Porto,0.7275
27,Warsaw,0.7044
27,Valencia,0.6762
27,Rome,0.4435
27,Vienna,0.4255
27,Tenerife,0.36
28,Prague,0.975
28,Warsaw,0.8305
28,Porto,0.6593
28,Vienna,0.5318
28,Valencia,0.5202
28,Rome,0.3044
28,Tenerife,0.025
29,Prague,0.88
29,Warsaw,0.7444
29,Porto,0.6675
29,Valencia,0.5762
29,Vienna,0.5255
29,Rome,0.3835
29,Tenerife,0.2
30,Prague,0.8167
30,Warsaw,0.687
30,Porto,0.6729
30,Valencia,0.6135
30,Vienna,0.5212
30,Rome,0.4363
30,Tenerife,0.3167
31,Prague,0.96
31,Warsaw,0.7844
31,Vienna,0.6255
31,Porto,0.6075
31,Valencia,0.4762
31,Rome,0.3235
31,Tenerife,0.04
32,Prague,0.8833
32,Warsaw,0.7204
32,Porto,0.6229
32,Vienna,0.6046
32,Valencia,0.5301
32,Rome,0.3863
32,Tenerife,0.1833
33,Prague,0.8286
33,Warsaw,0.6746
33,Porto,0.6339
33,Vienna,0.5896
33,Valencia,0.5687
33,Rome,0.4311
33,Tenerife,0.2857
34,Prague,0.95
34,Warsaw,0.7537
34,Vienna,0.6879
34,Porto,0.5729
34,Valencia,0.4468
34,Rome,0.3363
34,Tenerife,0.05
35,Prague,0.8857
35,Warsaw,0.7032
35,Vienna,0.661
35,Porto,0.5911
35,Valencia,0.4973
35,Rome,0.3882
35,Tenerife,0.1714
36,Prague,0.8375
36,Warsaw,0.6653
36,Vienna,0.6409
36,Porto,0.6047
36,Valencia,0.5351
36,Rome,0.4272
36,Tenerife,0.2625
37,Prague,1.0
37,Warsaw,0.9074
37,Porto,0.7458
37,Valencia,0.5936
37,Vienna,0.3758
37,Rome,0.2725
37,Tenerife,0.0
38,Prague,0.9
38,Warsaw,0.8059
38,Porto,0.7366
38,Valencia,0.6349
38,Vienna,0.4006
38,Rome,0.358
38,Tenerife,0.18
39,Prague,0.8333
39,Warsaw,0.7383
39,Porto,0.7305
39,Valencia,0.6624
39,Vienna,0.4172
39,Rome,0.415
39,Tenerife,0.3
40,Prague,0.98
40,Warsaw,0.8459
40,Porto,0.6766
40,Valencia,0.5349
40,Vienna,0.5006
40,Rome,0.298
40,Tenerife,0.02
41,Prague,0.9
41,Warsaw,0.7716
41,Porto,0.6805
41,Valencia,0.5791
41,Vienna,0.5005
41,Rome,0.365
41,Tenerife,0.1667
42,Prague,0.8429
42,Warsaw,0.7185
42,Porto,0.6833
42,Valencia,0.6106
42,Vienna,0.5004
42,Rome,0.4129
42,Tenerife,0.2714
43,Prague,0.9667
43,Warsaw,0.8049
43,Porto,0.6305
43,Vienna,0.5838
43,Valencia,0.4958
43,Rome,0.315
43,Tenerife,0.0333
44,Prague,0.9
44,Warsaw,0.7471
44,Porto,0.6404
44,Vienna,0.5719
44,Valencia,0.5392
44,Rome,0.37
44,Tenerife,0.1571
45,Prague,0.85
45,Warsaw,0.7037
45,Porto,0.6479
45,Valencia,0.5718
45,Vienna,0.5629
45,Rome,0.4113
45,Tenerife,0.25
46,Prague,0.9571
46,Warsaw,0.7756
46,Vienna,0.6433
46,Porto,0.5976
46,Valencia,0.4678
46,Rome,0.3271
46,Tenerife,0.0429
47,Prague,0.9
47,Warsaw,0.7287
47,Vienna,0.6254
47,Porto,0.6104
47,Valencia,0.5093
47,Rome,0.3738
47,Tenerife,0.15
48,Prague,0.8556
48,Warsaw,0.6922
48,Porto,0.6203
48,Vienna,0.6115
48,Valencia,0.5416
48,Rome,0.41
48,Tenerife,0.2333
